Id,Class
0,5
1,8
2,8
3,2
4,2
5,2
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,8
19,8
20,8
21,1
22,1
23,1
24,1
25,2
26,2
27,7
28,7
29,7
30,8
31,8
32,9
33,2
34,2
35,2
36,2
37,2
38,2
39,7
40,7
41,7
42,2
43,2
44,2
45,8
46,8
47,8
48,4
49,4
50,4
51,3
52,3
53,3
54,7
55,7
56,7
57,2
58,2
59,2
60,0
61,0
62,0
63,6
64,6
65,6
66,2
67,2
68,2
69,1
70,1
71,1
72,7
73,7
74,7
75,7
76,7
77,7
78,5
79,4
80,4
81,8
82,8
83,8
84,1
85,1
86,1
87,1
88,1
89,1
90,8
91,8
92,8
93,3
94,3
95,3
96,2
97,2
98,2
99,7
100,7
101,7
102,1
103,1
104,1
105,2
106,2
107,2
108,8
109,8
110,8
111,1
112,1
113,1
114,6
115,6
116,0
117,5
118,0
119,4
120,6
121,6
122,6
123,1
124,1
125,1
126,0
127,0
128,0
129,8
130,8
131,8
132,2
133,2
134,2
135,5
136,5
137,5
138,1
139,1
140,1
141,3
142,3
143,3
144,8
145,8
146,8
147,9
148,9
149,9
150,8
151,8
152,8
153,2
154,2
155,2
156,2
157,2
158,2
159,6
160,6
161,6
162,8
163,9
164,9
165,8
166,8
167,8
168,1
169,1
170,1
171,7
172,7
173,7
174,1
175,1
176,1
177,2
178,2
179,8
180,0
181,0
182,0
183,1
184,1
185,1
186,8
187,8
188,8
189,3
190,3
191,3
192,8
193,8
194,9
195,3
196,3
197,3
198,7
199,7
200,7
201,2
202,2
203,2
204,2
205,2
206,2
207,9
208,9
209,9
210,8
211,8
212,8
213,1
214,1
215,1
216,3
217,3
218,3
219,7
220,7
221,7
222,2
223,2
224,2
225,2
226,2
227,8
228,9
229,9
230,9
231,2
232,2
233,2
234,3
235,1
236,2
237,3
238,0
239,0
240,7
241,7
242,7
243,7
244,3
245,3
246,7
247,7
248,7
249,9
250,9
251,9
252,1
253,1
254,1
255,2
256,9
257,2
258,5
259,8
260,5
261,7
262,7
263,7
264,2
265,2
266,2
267,9
268,9
269,9
270,0
271,0
272,0
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,1
281,1
282,1
283,1
284,8
285,0
286,0
287,0
288,1
289,1
290,2
291,3
292,3
293,3
294,9
295,9
296,9
297,1
298,1
299,2
300,1
301,1
302,1
303,0
304,0
305,0
306,3
307,3
308,3
309,0
310,0
