Id,Class
0,9
1,2
2,1
3,1
4,1
5,4
6,8
7,7
8,2
9,7
10,9
11,2
12,2
13,7
14,2
15,8
16,4
17,7
18,7
19,2
20,5
21,6
22,7
23,3
24,2
25,2
26,5
27,3
28,4
29,7
30,3
31,3
32,2
33,2
34,3
35,2
36,6
37,1
38,6
39,2
40,3
41,0
42,0
43,8
44,2
45,5
46,8
47,3
48,8
49,9
50,4
51,3
52,2
53,1
54,9
55,9
56,1
57,7
58,3
59,2
60,0
61,3
62,8
63,3
64,8
65,1
66,2
67,2
68,2
69,9
70,3
71,1
72,3
73,2
74,2
75,2
76,9
77,7
78,2
79,1
80,2
81,7
82,7
83,8
84,1
85,9
86,9
87,2
88,2
89,9
90,0
91,2
92,7
93,2
94,9
95,8
96,2
97,3
98,9
99,2
100,7
101,8
102,1
103,0
104,7
105,0
106,7
107,7
108,9
109,1
110,0
111,9
112,3
113,1
114,7
115,2
116,2
117,1
118,4
119,0
120,1
121,2
122,1
123,7
124,7
125,7
126,1
127,3
128,1
129,4
130,9
131,8
132,7
133,2
134,3
135,2
136,2
137,0
138,2
139,9
140,2
141,2
142,1
143,4
144,0
145,0
146,4
147,9
148,2
149,9
150,1
151,2
152,1
153,5
154,3
155,3
156,1
157,1
158,7
159,8
160,4
161,1
162,7
163,2
164,6
165,3
166,8
167,9
168,8
169,7
170,7
171,2
172,2
173,0
174,1
175,0
176,1
177,0
178,2
179,0
180,8
181,1
182,2
183,3
184,3
185,7
186,1
187,2
188,0
189,8
190,3
191,7
192,5
193,7
194,6
195,3
196,9
197,8
198,0
199,3
200,7
201,2
202,0
203,1
204,3
205,9
206,1
207,7
208,3
209,7
210,7
211,1
212,6
213,3
214,3
215,2
216,0
217,5
218,3
219,9
220,4
221,3
222,7
223,0
224,9
225,7
226,0
227,1
228,8
229,7
230,9
231,5
232,9
233,2
234,0
235,7
236,1
237,8
238,8
239,8
240,5
241,2
242,2
243,4
244,9
245,9
246,3
247,1
248,2
249,0
250,2
251,6
252,3
253,5
254,4
255,2
256,2
257,1
258,1
259,0
260,1
261,2
262,9
263,4
264,7
265,9
266,2
267,4
268,4
269,2
270,5
271,7
272,7
273,1
274,9
275,3
276,3
277,2
278,4
279,8
280,7
281,0
282,3
283,7
284,3
285,7
286,2
287,2
288,8
289,3
290,1
291,1
292,2
293,7
294,6
295,1
296,2
297,9
298,3
299,9
300,1
301,5
302,0
303,3
304,9
305,1
306,2
307,0
308,7
309,3
310,5
311,7
312,8
313,4
314,0
315,3
316,9
317,1
318,1
319,9
320,0
321,2
322,4
323,7
324,2
325,3
326,0
327,8
328,7
329,9
330,7
331,7
332,1
333,0
334,7
335,5
336,2
337,1
338,1
339,3
340,9
341,2
342,2
343,8
344,0
345,7
346,2
347,3
348,7
349,2
350,2
351,1
352,2
353,4
354,2
355,2
356,3
357,1
358,8
359,2
360,0
361,7
362,9
363,9
364,2
365,3
366,9
367,3
368,1
369,2
370,2
371,2
372,1
373,2
374,2
375,7
376,7
377,7
378,0
379,2
380,9
381,8
382,7
383,6
384,1
385,0
386,2
387,3
388,1
389,7
390,6
391,8
392,4
393,7
394,4
395,4
396,3
397,2
398,5
399,5
400,2
401,2
402,2
403,7
