Id,Class
0,7
1,2
2,1
3,2
4,7
5,6
6,6
7,4
8,3
9,5
10,8
11,2
12,8
13,9
14,5
15,2
16,9
17,3
18,6
19,2
20,8
21,8
22,8
23,8
24,1
25,5
26,2
27,10
28,3
29,9
30,2
31,6
32,4
33,8
34,9
35,5
36,4
37,8
38,1
39,6
40,8
41,6
42,8
43,7
44,10
45,7
46,8
47,2
48,9
49,9
50,5
51,5
52,8
53,2
54,1
55,5
56,1
57,9
58,1
59,1
60,2
61,8
62,8
63,8
64,10
65,4
66,6
67,7
68,2
69,3
70,9
71,1
72,2
73,3
74,1
75,8
76,4
77,10
78,1
79,2
80,2
81,2
82,2
83,7
84,1
85,3
86,1
87,2
88,1
89,9
90,2
91,8
92,3
93,8
94,5
95,3
96,3
97,4
98,6
99,7
100,10
101,1
102,10
103,6
104,5
105,2
106,8
107,5
108,3
109,8
110,9
111,7
112,2
113,9
114,9
115,2
116,6
117,1
118,8
119,9
120,4
121,5
122,10
123,2
124,3
125,3
126,2
127,6
128,9
129,6
130,2
131,7
132,2
133,7
134,2
135,1
136,2
137,2
138,3
139,2
140,3
141,2
142,2
143,4
144,8
145,2
146,3
147,8
148,2
149,8
150,6
151,4
152,7
153,5
154,2
155,5
156,8
157,5
158,4
159,10
160,5
161,9
162,1
163,3
164,10
165,4
166,5
167,7
168,4
169,4
170,10
171,5
172,4
173,9
174,8
175,3
176,9
177,2
178,4
179,10
180,6
181,7
182,1
183,4
184,10
185,2
186,3
187,10
188,3
189,9
190,9
191,3
192,3
193,2
194,6
195,8
196,10
197,2
198,6
199,6
200,4
201,1
202,4
203,2
204,3
205,5
206,8
207,2
208,10
209,7
210,2
211,3
212,2
213,5
214,2
215,6
216,9
217,2
218,8
219,8
220,8
221,9
222,9
223,6
224,4
225,9
226,8
227,3
228,4
229,8
230,7
231,6
232,3
233,4
234,3
235,2
236,8
237,2
238,9
239,8
240,9
241,2
242,5
243,4
244,5
245,2
246,3
247,2
248,2
249,2
250,9
251,5
252,2
253,5
254,1
255,8
256,2
257,8
258,2
259,1
260,9
261,5
262,1
263,9
264,1
265,3
266,5
267,3
268,2
269,3
270,3
271,2
272,6
273,2
274,5
275,3
276,1
277,2
278,5
279,7
280,2
281,1
282,8
283,7
284,9
285,1
286,7
287,3
288,6
289,10
290,9
291,2
292,4
293,7
294,8
295,1
296,8
297,5
298,3
299,10
300,7
301,2
302,5
303,6
304,1
305,2
306,2
307,3
308,8
309,4
310,9
311,10
312,8
313,7
314,6
315,2
316,3
317,9
318,3
319,2
320,8
321,1
322,5
323,6
324,7
325,10
326,6
327,2
328,3
329,6
330,7
331,4
332,8
333,2
334,1
335,10
336,8
337,5
338,3
339,7
340,2
341,7
342,9
343,2
344,8
345,2
346,3
347,3
348,8
349,8
350,1
351,1
352,9
353,1
354,1
355,3
356,8
357,2
358,8
359,2
360,1
361,1
362,3
363,3
364,3
365,1
366,10
367,1
368,6
369,6
370,9
371,10
372,8
373,8
374,9
375,3
376,4
377,3
378,5
379,5
380,4
381,2
382,2
383,8
384,9
385,8
386,4
387,9
388,9
389,6
390,4
391,8
392,2
393,4
394,9
395,8
396,2
397,6
398,1
399,6
400,4
401,7
402,8
403,3
404,6
405,3
406,2
407,8
408,3
409,6
410,8
411,9
412,8
413,7
414,2
415,5
416,1
417,2
418,8
419,3
420,5
421,5
422,9
423,2
424,2
425,8
426,1
427,8
428,2
429,6
430,2
431,4
432,2
433,5
434,4
435,1
436,2
437,9
438,4
439,2
440,2
441,2
442,2
443,7
444,9
445,8
446,1
447,8
448,9
449,3
450,2
451,5
452,10
453,1
454,5
455,9
456,1
457,1
458,1
459,4
460,7
461,4
462,2
463,1
464,5
465,7
466,4
467,5
468,5
469,1
470,7
471,4
472,9
473,5
474,8
475,8
476,6
477,5
478,1
479,1
480,2
481,5
482,1
483,1
484,6
485,4
486,4
487,8
488,4
489,2
490,10
491,8
492,3
493,6
494,2
495,9
496,6
497,10
498,2
499,2
500,9
501,5
502,3
503,8
504,3
505,6
506,2
507,8
508,1
509,9
510,6
511,1
512,2
513,9
514,1
515,2
516,9
517,3
518,1
519,4
520,6
521,2
522,1
523,10
524,3
525,3
526,2
527,2
528,4
529,9
530,5
531,7
532,3
533,3
534,4
535,6
536,8
537,8
538,5
539,9
540,7
541,8
542,4
543,7
544,9
545,8
546,3
547,5
548,8
549,5
550,2
551,7
552,6
553,5
554,2
555,1
556,8
557,6
558,3
559,7
560,1
561,2
562,8
563,9
564,2
565,8
566,2
567,2
568,4
569,2
570,2
571,8
572,5
573,1
574,2
575,5
576,2
577,5
578,8
579,4
580,6
581,7
582,3
583,8
584,6
585,1
586,2
587,9
588,4
589,5
590,1
591,2
592,7
593,10
594,10
595,8
596,8
597,1
598,4
599,9
600,1
601,7
602,7
603,2
604,1
605,3
606,3
607,8
608,8
609,10
610,2
611,3
612,1
613,5
614,2
615,8
616,6
617,1
618,9
619,4
620,6
621,8
622,10
623,1
624,3
625,8
626,5
627,8
628,7
629,7
630,6
631,3
632,6
633,2
634,3
635,3
636,7
637,8
638,3
639,10
640,9
641,1
642,5
643,1
644,7
645,8
646,2
647,3
648,9
649,7
650,2
651,1
652,8
653,1
654,5
655,10
656,2
657,5
658,1
659,5
660,2
661,2
662,10
663,2
664,3
665,1
666,5
667,1
668,6
669,3
670,1
671,2
672,3
673,1
674,1
675,7
676,7
677,6
678,2
679,8
680,6
681,4
682,5
683,8
684,2
685,4
686,6
687,2
688,4
689,5
690,7
691,5
692,6
693,1
694,4
695,6
696,2
697,5
698,1
699,1
700,7
701,6
702,1
703,3
704,2
705,3
706,3
707,4
708,4
709,2
710,5
711,9
712,9
713,9
714,6
715,10
716,1
717,2
718,6
719,9
720,3
721,2
722,5
723,1
724,6
725,9
726,4
727,6
728,1
729,1
730,9
731,8
732,8
733,3
734,4
735,7
736,4
737,2
738,4
739,2
740,2
741,7
742,3
743,8
744,2
745,1
746,3
747,7
748,6
749,3
750,1
751,8
752,2
753,7
754,2
755,4
756,4
757,6
758,8
759,6
760,6
761,9
762,5
763,2
764,7
765,10
766,2
767,10
768,3
769,8
770,5
771,2
772,4
773,8
774,4
775,2
776,4
777,4
778,6
779,10
780,3
781,2
782,1
783,9
784,1
785,9
786,10
787,6
788,2
789,2
790,6
791,6
792,4
793,2
794,5
795,1
796,4
797,4
798,7
799,9
800,9
801,10
802,2
803,4
804,7
805,5
806,10
807,7
808,1
809,3
810,5
811,1
812,8
813,7
814,9
815,9
816,2
817,4
818,2
819,2
820,2
821,1
822,2
823,4
824,2
825,2
826,10
827,5
828,1
829,1
830,2
831,2
832,8
833,5
834,3
835,2
836,6
837,6
838,4
839,1
840,1
841,2
842,3
843,1
844,2
845,10
846,10
847,6
848,3
849,1
850,5
851,1
852,2
853,3
854,8
855,2
856,3
857,2
858,7
859,2
860,4
861,1
862,1
863,3
864,9
865,4
866,2
867,5
868,2
869,8
870,7
871,10
872,1
873,7
874,2
875,9
876,5
877,4
878,9
879,4
880,1
881,2
882,1
883,8
884,4
885,1
886,4
887,3
888,10
889,3
890,6
891,4
892,8
893,4
894,1
895,2
896,1
897,3
898,9
899,5
900,2
901,2
902,4
903,3
904,4
905,9
906,3
907,2
908,4
909,10
910,6
911,10
912,10
913,10
914,5
915,8
916,4
917,1
918,6
919,9
920,5
921,1
922,9
923,3
924,7
925,4
926,3
927,1
928,1
929,1
930,5
931,1
932,10
933,7
934,6
935,1
936,3
937,3
938,5
939,2
940,2
941,8
942,7
943,1
944,1
945,3
946,2
947,8
948,5
949,4
950,5
951,7
952,7
953,4
954,2
955,9
956,4
957,6
958,3
959,9
960,10
961,2
962,8
963,2
964,3
965,8
966,7
967,4
968,3
969,9
970,9
971,1
972,7
973,2
974,8
975,8
976,1
977,2
978,2
979,8
980,10
981,5
982,2
983,9
984,9
985,2
986,4
987,1
988,10
989,8
990,10
991,1
992,2
993,8
994,9
995,8
996,8
997,8
998,9
999,1
