Id,Class
0,2
1,7
2,2
3,1
4,1
5,1
6,1
7,2
8,1
9,5
10,1
11,3
12,1
13,1
14,1
15,5
16,0
17,8
18,2
19,2
20,7
21,0
22,8
23,0
24,8
25,4
26,0
27,4
28,2
29,6
30,8
31,3
32,8
33,5
34,2
35,0
36,1
37,0
38,8
39,8
40,4
41,1
42,7
43,2
44,0
45,5
46,5
47,1
48,1
49,4
50,7
51,1
52,2
53,8
54,4
55,7
56,8
57,7
58,2
59,8
60,6
61,0
62,1
63,1
64,2
65,2
66,1
67,0
68,7
69,7
70,7
71,9
72,4
73,2
74,2
75,0
76,8
77,1
78,1
79,1
80,1
81,2
82,4
83,1
84,0
85,7
86,4
87,0
88,7
89,7
90,2
91,6
92,2
93,4
94,1
95,2
96,4
97,7
98,7
99,1
100,8
101,0
102,2
103,4
104,1
105,1
106,4
107,7
108,7
109,2
110,5
111,6
112,1
113,1
114,2
115,2
116,1
117,1
118,2
119,3
120,2
121,7
122,7
123,7
124,5
125,2
126,1
127,5
128,1
129,0
130,5
131,0
132,7
133,1
134,4
135,0
136,5
137,1
138,1
139,8
140,2
141,2
142,5
143,7
144,2
145,5
146,4
147,2
148,5
149,7
150,2
151,7
152,6
153,4
154,2
155,4
156,1
157,7
158,1
159,1
160,2
161,7
162,0
163,2
164,1
165,1
166,6
167,9
168,7
169,2
170,4
171,4
172,1
173,4
174,2
175,8
176,2
177,2
178,9
179,1
180,6
181,8
182,0
183,7
184,6
185,8
186,2
187,1
188,1
189,2
190,6
191,2
192,5
193,1
194,1
195,1
196,0
197,0
198,4
199,0
200,8
201,8
202,2
203,7
204,7
205,8
206,8
207,5
208,4
209,2
210,6
211,8
212,1
213,4
214,0
215,8
216,7
217,8
218,1
219,7
220,4
221,4
222,9
223,4
224,0
225,2
226,1
227,4
228,4
229,7
230,1
231,1
232,4
233,1
234,7
235,4
236,4
237,4
238,2
239,1
240,5
241,4
242,1
243,3
244,2
245,4
246,2
247,6
248,1
249,7
250,0
251,5
252,0
253,4
254,2
255,3
256,6
257,0
258,0
259,5
260,0
261,7
262,4
263,1
264,1
265,1
266,1
267,4
268,4
269,7
270,0
271,7
272,5
273,4
274,7
275,7
276,8
277,1
278,7
279,1
280,8
281,5
282,0
283,7
284,7
285,0
286,4
287,7
288,2
289,1
290,7
291,4
292,8
293,6
294,7
295,1
296,5
297,6
298,2
299,5
300,7
301,7
302,1
303,1
304,2
305,8
306,2
307,2
308,2
309,4
310,7
311,1
312,2
313,2
314,1
315,1
316,1
317,1
318,6
319,8
320,1
321,2
322,2
323,1
324,8
325,5
326,2
327,2
328,1
329,7
330,5
331,4
332,2
333,8
334,0
335,0
336,7
337,1
338,1
339,4
340,1
341,1
342,4
343,6
344,1
345,1
346,3
347,4
348,2
349,8
350,7
351,6
352,7
353,5
354,2
355,8
356,4
357,1
358,6
359,8
360,1
361,2
362,0
363,2
364,5
365,4
366,0
367,7
368,7
369,0
370,2
371,0
372,0
373,1
374,5
375,4
376,1
377,0
378,0
379,8
380,2
381,1
382,4
383,9
384,1
385,7
386,6
387,2
388,4
389,2
390,1
391,1
392,8
393,8
394,2
395,8
396,1
397,1
398,2
399,0
400,7
401,6
402,1
403,5
404,4
405,2
406,1
407,7
408,8
409,4
410,2
411,9
412,1
413,4
414,7
415,1
416,2
417,0
418,7
419,1
420,2
421,0
422,8
423,5
424,7
425,7
426,7
427,8
428,4
429,8
430,2
431,4
432,1
433,1
434,7
435,7
436,2
437,2
438,1
439,1
440,1
441,8
442,2
443,0
444,1
445,6
446,1
447,7
448,0
449,4
450,4
451,2
452,1
453,4
454,7
455,3
456,1
457,9
458,4
459,5
460,0
461,0
462,7
463,4
464,4
465,2
466,1
467,7
468,6
469,1
470,0
471,7
472,0
473,1
474,8
475,2
476,0
477,1
478,2
479,7
480,1
481,3
482,3
483,2
484,4
485,7
486,2
487,4
488,1
489,2
490,4
491,7
492,0
493,7
494,2
495,5
496,4
497,9
498,7
499,0
500,2
501,5
502,4
503,4
504,2
505,1
506,0
507,4
508,1
509,1
510,0
511,6
512,2
513,9
514,1
515,1
516,8
517,8
518,0
519,2
520,1
521,8
522,6
523,2
524,1
525,0
526,4
527,2
528,6
529,1
530,7
531,4
532,0
533,4
534,2
535,2
536,7
537,1
538,1
539,6
540,2
541,5
542,2
543,1
544,6
545,1
546,5
547,2
548,1
549,1
550,1
551,4
552,0
553,0
554,8
555,8
556,4
557,2
558,7
559,1
560,6
561,2
562,4
563,7
564,2
565,3
566,4
567,2
568,2
569,1
570,7
571,1
572,4
573,3
574,9
575,1
576,1
577,2
578,4
579,9
580,2
581,2
582,5
583,0
584,6
585,6
586,7
587,0
588,4
589,0
590,0
591,1
592,2
593,2
